HTTrack3.49-2+htsswf+htsjava launched on Wed, 05 Nov 2025 15:32:53 at http://imagine-wp.local/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qiC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://imagine-wp.local/ -O1 "C:\Users\user\Documents\GitHub\imagine-uo.github.io\Imagine_HTML" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

15:32:53	Warning: 	Cache: damaged cache, trying to repair
15:32:53	Warning: 	Cache: 0 bytes successfully recovered in 0 entries
15:32:53	Warning: 	Cache: error trying to open the cache
15:32:53	Warning: 	HTML file (61523 bytes) retransferred due to lack of cache: imagine-wp.local/
15:32:55	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-includes/css/dist/block-library/style.min.css?ver=6.8.3
15:32:55	Warning: 	HTML file (25370 bytes) retransferred due to lack of cache: imagine-wp.local/feed/
15:32:56	Warning: 	HTML file (777 bytes) retransferred due to lack of cache: imagine-wp.local/comments/feed/
15:32:56	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-content/themes/ecocoded/style.css?ver=6.8.3
15:32:57	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-content/themes/esport-x-gaming/style.css?ver=6.8.3
15:32:58	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.5
15:32:58	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-content/uploads/elementor/css/post-127.css?ver=1762173981
15:32:58	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.32.5
15:32:58	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.32.5
15:32:59	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-content/uploads/elementor/css/post-2.css?ver=1762351989
15:32:59	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-content/uploads/elementor/google-fonts/css/roboto.css?ver=1753440417
15:32:59	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-content/uploads/elementor/google-fonts/css/robotoslab.css?ver=1753431510
15:33:00	Warning: 	HTML file (256711 bytes) retransferred due to lack of cache: imagine-wp.local/wp-json/
15:33:00	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/xmlrpc.php?rsd
15:33:03	Warning: 	HTML file (49188 bytes) retransferred due to lack of cache: imagine-wp.local/imagine-project-description/
15:33:04	Warning: 	HTML file (50691 bytes) retransferred due to lack of cache: imagine-wp.local/members/
15:33:05	Warning: 	HTML file (132285 bytes) retransferred due to lack of cache: imagine-wp.local/scientific-production/
15:33:11	Warning: 	HTML file (51718 bytes) retransferred due to lack of cache: imagine-wp.local/funding/
15:33:13	Warning: 	HTML file (51983 bytes) retransferred due to lack of cache: imagine-wp.local/blog/
15:33:40	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fimagine-wp.local%2Fimagine-project-description%2F&format=xml
15:33:40	Warning: 	HTML file (803 bytes) retransferred due to lack of cache: imagine-wp.local/?p=82
15:33:41	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fimagine-wp.local%2Fmembers%2F&format=xml
15:33:42	Warning: 	HTML file (763 bytes) retransferred due to lack of cache: imagine-wp.local/?p=86
15:33:45	Warning: 	HTML file (791 bytes) retransferred due to lack of cache: imagine-wp.local/miranda/
15:34:01	Warning: 	HTML file (787 bytes) retransferred due to lack of cache: imagine-wp.local/montes/
15:34:11	Warning: 	HTML file (823 bytes) retransferred due to lack of cache: imagine-wp.local/perez-fernandez/
15:34:29	Warning: 	HTML file (799 bytes) retransferred due to lack of cache: imagine-wp.local/salamanca/
15:34:30	Warning: 	HTML file (45636 bytes) retransferred due to lack of cache: imagine-wp.local/members/nicolas-carrizosa/
15:34:38	Warning: 	HTML file (50303 bytes) retransferred due to lack of cache: imagine-wp.local/members/marina-iturrate-bobes/
15:34:49	Warning: 	HTML file (48625 bytes) retransferred due to lack of cache: imagine-wp.local/members/david-nieto-barba/
15:34:58	Warning: 	HTML file (46068 bytes) retransferred due to lack of cache: imagine-wp.local/members/dario-tagarro/
15:35:07	Warning: 	HTML file (793 bytes) retransferred due to lack of cache: imagine-wp.local/?p=101
15:55:58	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.32.5
15:55:59	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-content/uploads/elementor/css/post-482.css?ver=1762179831
15:56:02	Warning: 	HTML file (765 bytes) retransferred due to lack of cache: imagine-wp.local/?p=482
15:56:16	Warning: 	HTML file (49135 bytes) retransferred due to lack of cache: imagine-wp.local/2025/11/03/bfta-2025-school-report/
15:56:29	Warning: 	HTML file (47792 bytes) retransferred due to lack of cache: imagine-wp.local/2025/10/31/ipmu-2024-special-session-on-imprecise-probabilities/
15:57:55	Warning: 	HTML file (49735 bytes) retransferred due to lack of cache: imagine-wp.local/2025/10/23/isipta-2025-report/
15:58:19	Warning: 	HTML file (47403 bytes) retransferred due to lack of cache: imagine-wp.local/2025/09/30/new-published-paper-at-ijufks/
16:00:41	Warning: 	HTML file (51082 bytes) retransferred due to lack of cache: imagine-wp.local/2025/08/08/eusflat-2025-report/
16:00:51	Warning: 	Unexpected 412/416 error (Requested Range Not Satisfiable) for imagine-wp.local/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.32.5, 'C:/Users/user/Documents/GitHub/imagine-uo.github.io/Imagine_HTML/imagine-wp.local/wp-content/plugins/elementor/assets/js/frontend-modules.min9287.html' could not be found on disk
16:00:53	Warning: 	HTML file (43793 bytes) retransferred due to lack of cache: imagine-wp.local/OPR/
16:01:00	Warning: 	Retry after error -4 (No data (connection closed)) at link imagine-wp.local/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0 (from imagine-wp.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
16:01:01	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): imagine-wp.local/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0
16:01:06	Warning: 	Moved Permanently for imagine-wp.local/?p=82
16:01:06	Warning: 	File has moved from imagine-wp.local/?p=82 to http://imagine-wp.local/imagine-project-description/
16:01:06	Warning: 	Moved Permanently for imagine-wp.local/?p=86
16:01:06	Warning: 	File has moved from imagine-wp.local/?p=86 to http://imagine-wp.local/members/
16:01:06	Warning: 	Retry after error -4 (No data (connection closed)) at link imagine-wp.local/miranda/ (from imagine-wp.local/members/)
16:01:06	Warning: 	HTML file (791 bytes) retransferred due to lack of cache: imagine-wp.local/miranda/
16:01:07	Warning: 	Moved Permanently for imagine-wp.local/montes/
16:01:07	Warning: 	File has moved from imagine-wp.local/montes/ to http://imagine-wp.local/members/montes/
16:01:07	Warning: 	HTML file (49755 bytes) retransferred due to lack of cache: imagine-wp.local/members/montes/
16:01:15	Warning: 	Retry after error -4 (No data (connection closed)) at link imagine-wp.local/perez-fernandez/ (from imagine-wp.local/members/)
16:01:15	Warning: 	HTML file (823 bytes) retransferred due to lack of cache: imagine-wp.local/perez-fernandez/
16:01:16	Warning: 	Moved Permanently for imagine-wp.local/salamanca/
16:01:16	Warning: 	File has moved from imagine-wp.local/salamanca/ to http://imagine-wp.local/members/salamanca/
16:01:16	Warning: 	HTML file (48230 bytes) retransferred due to lack of cache: imagine-wp.local/members/salamanca/
16:01:27	Warning: 	HTML file (801 bytes) retransferred due to lack of cache: imagine-wp.local/?p=699
16:01:30	Warning: 	HTML file (809 bytes) retransferred due to lack of cache: imagine-wp.local/?p=701
16:01:36	Warning: 	HTML file (801 bytes) retransferred due to lack of cache: imagine-wp.local/?p=703
16:01:40	Warning: 	HTML file (793 bytes) retransferred due to lack of cache: imagine-wp.local/?p=705
16:01:41	Warning: 	Moved Permanently for imagine-wp.local/?p=101
16:01:41	Warning: 	File has moved from imagine-wp.local/?p=101 to http://imagine-wp.local/scientific-production/
16:01:41	Warning: 	Retry after error -4 (Incorrect length (6125473 Bytes, 10074358 expected)) at link imagine-wp.local/wp-content/uploads/2025/09/SEIO2023-David.pdf (from imagine-wp.local/scientific-production/)
16:01:53	Warning: 	Retry after error -4 (Incorrect length (3509687 Bytes, 7744059 expected)) at link imagine-wp.local/wp-content/uploads/2025/09/GEDM2025-miranda.pdf (from imagine-wp.local/scientific-production/)
16:01:59	Error: 	"Not Found" (404) at link imagine-wp.local/wp-content/uploads/2025/10/SMPS2024-RPF.pdf (from imagine-wp.local/scientific-production/)
16:01:59	Warning: 	Retry after error -4 (Incorrect length (3507079 Bytes, 7185928 expected)) at link imagine-wp.local/wp-content/uploads/2025/08/SMPS2024_Quique.pdf (from imagine-wp.local/scientific-production/)
16:03:56	Warning: 	Retry after error -4 (Incorrect length (6124965 Bytes, 8474324 expected)) at link imagine-wp.local/wp-content/uploads/2025/09/SEIO2025-miranda.pdf (from imagine-wp.local/scientific-production/)
16:04:08	Error: 	"Not Found" (404) at link imagine-wp.local/wp-content/uploads/2025/10/EUSFLAT2025-RPF.pdf (from imagine-wp.local/scientific-production/)
16:08:26	Warning: 	Retry after error -4 (Incorrect length (10380306 Bytes, 11742650 expected)) at link imagine-wp.local/wp-content/uploads/2025/09/ISIPTA2025-Miranda.pdf (from imagine-wp.local/scientific-production/)
16:08:26	Warning: 	Retry after error -4 (Incorrect length (840989 Bytes, 4897533 expected)) at link imagine-wp.local/wp-content/uploads/2025/09/ISIPTA2025-Marina.pdf (from imagine-wp.local/scientific-production/)
16:08:26	Error: 	"Not Found" (404) at link imagine-wp.local/wp-content/uploads/2025/10/NPSEIO2025-RPF.pdf (from imagine-wp.local/scientific-production/)
16:08:26	Warning: 	Moved Permanently for imagine-wp.local/?p=482
16:08:26	Warning: 	File has moved from imagine-wp.local/?p=482 to http://imagine-wp.local/funding/
16:08:28	Warning: 	HTML file (819 bytes) retransferred due to lack of cache: imagine-wp.local/?p=972
